Taxa	PT015	PT002	s58.Healthy.greaterthan5.Feces.Baseline	CN031	PH043	CN004	PH042	PH048	s.331.Healthylessthan5.Stool.1.2556	CN023	PT003	s.278.Healthylessthan5.Stool.visit1.2298	s064.Healthy_greaterthan5.Feces.Baseline	s.86.Healthy_greaterthan5.Feces.Baseline	PH029	s048.Healthy_lessthan5.Feces.Baseline	PH047	PH011	s.280.Healthylessthan5.Stool.visit1.2273	PH005	PH049	CN002	s.298.Healthylessthan5.Stool.1.2374	PT004	s066.Healthy_lessthan5.Feces.Baseline	s.91.Healthy.greaterthan5.Feces.Baseline	s.274.Healthylessthan5.Feces.Baseline	s.88.Healthy_greaterthan5.Feces.Baseline	PH045	PT012	PT018	PH025	CL007	PH024	s.87.Healthy_greaterthan5.Feces.Baseline	PT005	s60.Healthy.greaterthan5.Feces.Baseline	s.257.Healthylessthan5.Stool.1.1953	CN011	s083.Healthy_lessthan5.Feces.Baseline	s.109.Healthy.greaterthan5.Stool.1.910	PH021	CN013	PH008	CL009	PT013	PT014	PH002	PT019	s.294.HealthyLess.Than5.Stool.1.2296	CN029	PH028	s115.Healthy_greaterthan5.Feces.Baseline	PH022	CL002	CL005	PH020	CN022	PH019	PT006	s22.Healthy.Feces.Visit1	s69.Healthy_greaterthan5.Feces.Baseline	PH050	s.260.Healthylessthan5.Feces.Baseline	CN027	s.276.Healthylessthan5.Stool.visit1.2112	CN005	CN030	s.356.Healthy.lessthan5.Stool.1.2764	PT017	PH012	s95.Healthy.lessthan5.Feces.Baseline	CL010	s26.Healthy.Feces.Visit1	PH023	s.158.Healthy_lessthan5.Feces.Baseline	s30	PT009	PH017	s45.Healthy_lessthan5.Feces.Baseline	PH031	PT007	PT010	CL006	s.85.Healthy_greaterthan5.Feces.Baseline	PH018	s.290.Healthylessthan5.Stool.visit1.2284	CL003	s.84.Healthy_greaterthan5.Feces.Baseline	PH016	PH051	PH007	CN017	CL008	s.208.Healthy_lessthan5.Feces.Baseline	s.79.Healthy_greaterthan5.Feces.Baseline	CN026	PH027	PH038	PH041	s50.Healthy_lessthan5.Feces.Baseline	s47.Healthy_lessthan5.Feces.Baseline	PH040	s.75.Healthy_greaterthan5.Feces.Baseline	PH010	s128.Healthy_lessthan5.Feces.Baseline	s049.Healthy_greaterthan5.Feces.Baseline	PH035	s125.Healthy_lessthan5.Feces.Baseline	s.89.Healthygreaterthan5.Feces.Baseline	s.153.Healthy_lessthan5.Feces.Baseline	PH054	s46.Healthy.greaterthan5.Feces.Baseline	CN019	s70.Healthy_greaterthan5.Feces.Baseline	s.149.Healthy_lessthan5.Feces.Baseline	PH046	PH052	PT001	s.283.HealthyLess.Than5.Stool.1.2299	s.303.Healthylessthan5.Stool.1.2291	s.353.Healthygreaterthan5.Stool.1.2756	CN007	PH013	CN024	s68.Healthy_greaterthan5.Feces.Baseline	CN020	PH034	CL004	CN006	PH039	s.100.Healthygreaterthan5.Stool.visit1.798	PH037	s.74.Healthy_greaterthan5.Feces.Baseline	CN021	PH036	PH026	PT011	s6.Healthy.Feces.Visit1	CL001
p__Actinobacteria g__Frankia s__sp. CpI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
p__Actinobacteria g__Frankia s__sp. EAN1pec	0	3	24	8	0	18	5	40	24	0	8	0	6	21	8	30	19	0	10	10	2	15	8	13	4	3	15	5	7	1	13	9	8	68	7	19	4	11	0	0	4	0	0	0	18	2	0	3	48	3	1	10	15	23	12	0	3	1	13	3	3	0	20	11	0	10	7	2	21	23	0	7	7	5	28	13	9	12	0	9	5	45	6	17	28	1	22	26	22	0	0	0	0	3	0	34	0	2	0	10	16	2	1	5	11	3	38	0	1	12	11	17	12	45	4	11	4	0	3	4	3	14	0	5	6	3	4	2	0	1	1	6	40	36	5	0	0	11	9	5
p__Actinobacteria g__Frankia s__sp. QA3	1	6	9	4	0	15	1	11	8	5	18	0	2	3	2	13	16	0	6	22	0	7	9	24	6	1	5	3	5	2	8	0	2	47	5	22	7	2	1	0	0	1	0	0	11	0	0	0	26	3	0	13	7	37	3	1	2	4	5	3	2	1	19	6	0	3	0	5	3	3	1	3	3	7	48	8	4	9	0	5	1	29	1	4	3	2	8	17	3	0	3	0	10	16	2	3	4	1	0	11	4	0	0	7	14	1	63	46	0	10	18	7	2	3	0	1	4	0	5	15	3	3	0	1	3	6	0	0	0	1	3	7	16	1	1	2	0	12	2	0
p__Actinobacteria g__Frankia s__symbiont of Datisca glomerata	1	3	132	17	5	30	16	54	23	111	47	0	13	29	6	31	20	0	27	23	0	12	27	15	17	7	31	12	3	0	8	0	11	20	16	12	10	15	0	2	12	0	11	2	12	1	0	0	30	3	17	39	12	25	13	2	19	13	9	6	8	1	37	6	7	13	8	1	73	3	1	12	21	17	11	6	7	8	2	26	6	46	0	9	23	20	4	49	16	0	1	0	156	21	3	21	7	4	9	2	5	8	4	7	7	3	102	33	12	24	35	27	8	8	3	16	8	0	10	1	2	19	0	11	6	18	1	0	0	29	11	22	19	26	6	15	0	15	21	2
p__Actinobacteria g__Friedmanniella	0	0	3	0	0	0	1	37	3	0	0	0	3	8	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	1	0
p__Actinobacteria g__Friedmanniella s__luteola	0	3	6	3	2	12	4	27	1	2	4	0	10	16	0	3	29	0	4	12	2	7	15	5	0	0	48	13	5	2	8	0	5	35	18	19	0	1	6	4	7	1	0	0	5	1	0	1	17	2	0	28	8	16	6	0	0	9	2	1	11	2	9	2	1	1	1	8	0	5	2	7	3	14	47	0	0	6	0	4	4	34	0	13	8	2	1	132	28	0	2	2	3	3	1	7	6	4	6	11	0	6	0	11	1	2	62	1	0	6	22	25	13	0	1	12	6	0	4	0	1	19	0	13	2	15	5	2	0	3	1	9	10	14	7	1	1	37	2	2
p__Actinobacteria g__Friedmanniella s__sagamiharensis	1	2	7	2	1	1	0	11	35	0	13	0	5	8	1	60	22	0	20	17	10	12	4	9	13	5	49	8	1	6	3	0	19	12	26	2	3	8	0	1	2	0	0	2	0	5	0	0	13	0	0	18	17	7	24	1	4	1	11	0	2	3	27	12	1	25	29	2	1	18	4	10	3	6	4	3	7	0	0	1	1	36	2	1	7	13	30	70	16	0	0	0	4	2	1	46	0	7	0	6	10	3	1	7	8	5	32	5	0	2	14	4	7	61	0	14	15	0	1	1	6	12	0	8	16	8	8	3	0	0	0	13	4	16	5	0	0	17	4	0
p__Actinobacteria g__Frondihabitans s__sp. PAMC 28766	0	1	150	5	0	20	3	4	1	2	5	0	7	11	0	1	4	0	7	1	0	0	10	4	33	2	20	1	0	4	2	0	2	7	5	3	4	4	1	7	0	0	0	0	2	1	2	0	10	1	0	9	2	4	11	0	3	2	3	1	5	5	3	1	2	8	6	12	6	22	0	4	7	5	3	4	0	1	2	39	2	26	0	4	23	2	2	143	14	0	0	0	7	2	2	7	4	3	1	4	0	3	3	2	2	2	22	2	1	4	11	27	3	0	0	9	14	0	5	1	2	6	0	3	1	6	2	1	0	1	2	12	17	33	5	0	0	22	5	0
p__Actinobacteria g__Gardnerella s__vaginalis	1	95	10	15	71	3	4	38	19	1	7	8	21	36	26	6	74	0	58	18	9	17	12	10	85	3	30	19	20	84	38	1	23	33	29	10	9	6	2	0	6	1	6	11	34	0	14	0	24	14	14	18	13	8	27	12	10	11	1	7	8	15	48	73	2	28	3	2	18	2	1	8	10	23	8	26	15	5	9	19	51	36	0	21	20	0	8	60	35	3	16	6	20	15	2	27	0	7	31	54	9	28	15	28	4	17	102	18	2	14	8	20	8	22	7	13	25	0	4	14	27	99	4	24	10	10	0	11	8	34	11	3	18	13	20	1	3	0	36	5
p__Actinobacteria g__Geodermatophilus s__obscurus	0	1	13	0	0	0	0	19	5	0	6	0	5	4	0	6	15	0	4	4	2	6	1	3	21	4	39	4	1	2	12	0	9	9	5	8	1	3	0	7	2	0	0	5	7	1	1	0	8	0	0	10	8	12	11	0	4	5	11	0	3	0	4	3	0	5	10	0	6	4	1	5	2	5	4	5	0	0	0	0	2	17	1	0	6	6	0	60	5	0	4	0	0	8	5	4	4	0	0	3	6	1	5	3	14	5	58	1	0	5	3	7	5	33	1	3	6	0	10	1	9	18	0	7	2	4	0	0	0	0	4	15	13	4	6	0	0	21	18	0
p__Actinobacteria g__Glutamicibacter s__arilaitensis	0	2	12	4	0	7	17	43	24	4	10	5	10	33	5	11	72	0	27	11	3	7	15	6	108	4	41	28	16	7	30	0	8	27	15	16	8	12	1	0	16	1	0	7	70	5	7	0	60	5	2	15	20	24	12	15	3	4	2	5	5	6	43	8	10	24	32	24	6	8	1	14	7	32	4	21	7	54	252	7	11	43	3	6	22	18	8	346	63	1	8	2	83	14	9	11	5	0	18	5	5	11	8	13	6	7	23	35	1	17	56	32	10	14	3	16	13	0	30	7	14	15	1	4	25	15	19	14	0	28	66	18	31	38	23	0	0	92	14	2
p__Actinobacteria g__Gordonia	0	0	4	1	0	0	0	3	0	0	12	0	1	0	1	2	2	0	0	1	1	2	0	3	0	0	3	1	3	2	1	0	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	3	1	2	1	0	1	0	1	0	4	0	4	0	0	0	0	0	4	0	4	0	2	0	1	0	0	1	0	2	0	62	0	0	8	0	1	11	1	0	0	0	1	4	2	1	0	0	0	0	0	0	0	1	0	0	6	0	0	1	4	3	0	1	0	0	0	0	0	1	0	2	0	4	0	0	1	0	0	0	0	5	4	13	1	0	0	8	1	1
p__Actinobacteria g__Gordonia s__bronchialis	1	3	9	17	69	2	1	13	8	3	81	0	9	3	0	22	6	0	11	3	0	16	7	36	10	7	35	12	5	2	1	0	2	1	8	23	3	6	1	0	3	0	0	1	24	2	2	0	12	2	0	11	9	4	15	2	39	57	10	0	3	8	39	4	1	1	0	0	10	19	66	2	4	3	2	49	1	1	2	2	0	1	0	1	2	8	7	42	6	1	1	1	0	0	0	3	0	5	105	0	2	2	1	4	1	4	21	159	0	8	8	5	4	1	0	4	16	0	7	3	1	3	0	40	5	4	2	2	0	0	5	5	2	18	0	0	0	6	6	15
p__Actinobacteria g__Gordonia s__iterans	8	1	9	3	0	7	1	7	2	0	31	0	1	26	7	15	29	0	18	28	0	17	6	2	5	1	5	10	5	1	0	0	8	3	5	12	1	2	3	1	0	1	0	1	2	0	0	0	19	1	3	5	4	11	12	0	0	4	2	0	4	0	30	3	1	2	4	4	0	14	0	2	19	5	43	9	1	8	0	1	1	18	4	7	31	7	0	59	7	0	7	0	4	4	4	8	0	5	1	12	1	2	127	6	2	0	71	50	0	18	2	8	1	0	0	6	12	0	0	1	1	8	0	5	4	3	4	0	0	2	2	2	15	6	4	0	0	16	3	2
p__Actinobacteria g__Gordonia s__phthalatica	0	4	1	4	0	14	2	4	10	3	4	1	1	7	0	8	10	0	4	15	0	9	15	9	0	0	7	0	9	1	9	1	0	10	7	17	2	1	0	4	4	1	0	0	8	0	1	0	8	4	2	7	17	6	0	0	0	1	5	5	3	0	7	7	1	0	4	2	30	25	0	0	4	6	8	0	1	1	0	3	0	37	5	6	9	0	9	82	6	0	0	1	4	5	0	2	3	7	11	0	4	0	1	1	10	1	10	3	0	7	11	6	0	2	2	6	3	0	3	0	2	9	0	3	0	10	1	3	0	0	2	9	0	12	4	0	0	33	1	3
p__Actinobacteria g__Gordonia s__polyisoprenivorans	0	0	4	11	0	0	1	3	16	0	0	0	16	15	3	5	5	0	1	1	0	3	5	5	15	0	4	3	6	1	27	1	0	6	6	0	0	0	0	0	4	1	0	0	32	0	0	0	47	2	1	4	8	19	15	0	2	0	1	1	2	4	30	3	0	15	1	1	0	2	1	3	3	8	2	10	1	0	1	7	6	21	1	1	4	10	1	49	6	0	0	2	1	2	1	5	0	0	5	5	2	2	2	1	3	1	6	0	0	1	1	6	1	2	0	2	12	0	3	1	4	28	1	8	0	3	1	5	0	0	1	3	6	7	1	0	0	10	6	1
p__Actinobacteria g__Gordonia s__sp. 1D	1	1	6	22	0	9	0	1	2	1	11	2	2	7	0	1	9	0	1	2	0	11	2	0	7	0	4	2	1	1	2	0	0	1	1	3	3	1	0	0	1	0	0	3	2	3	0	0	16	0	0	3	9	5	3	0	1	3	0	1	0	0	8	1	0	2	1	4	7	3	2	0	0	11	1	2	2	41	113	1	0	48	0	8	1	1	6	62	5	0	1	0	56	9	3	2	1	2	2	0	1	0	2	2	6	0	17	3	1	5	2	4	5	8	2	1	10	0	1	2	7	1	1	8	2	2	2	0	0	4	29	8	2	11	1	0	0	18	1	0
p__Actinobacteria g__Gordonia s__sp. KTR9	0	11	18	18	0	0	0	7	7	1	7	0	1	2	0	7	24	0	3	3	1	11	5	2	0	1	23	1	2	0	0	0	2	0	1	0	31	5	0	0	1	0	0	0	2	205	0	0	4	129	3	10	1	19	5	0	2	2	1	7	3	2	1	38	0	4	6	5	54	2	0	5	58	7	1	0	0	0	0	10	2	1	0	5	44	0	1	80	12	0	0	0	3	1	1	4	1	1	5	1	0	4	1	0	3	0	27	1	0	3	17	2	1	2	1	40	6	0	2	0	0	4	0	6	0	14	1	4	0	2	1	5	2	10	4	0	0	11	2	4
p__Actinobacteria g__Gordonia s__sp. YC-JH1	0	7	152	6	0	0	1	54	8	4	7	0	7	2	0	3	87	0	30	34	1	2	12	4	19	2	8	13	17	0	0	0	5	77	12	4	2	10	0	0	0	1	0	2	13	0	0	6	28	4	2	7	3	20	1	10	9	4	2	4	1	1	12	0	2	3	1	0	28	0	2	2	14	9	1	1	7	13	0	8	2	14	1	20	7	3	3	25	14	0	3	0	8	11	0	15	0	0	4	5	2	3	0	21	15	2	22	8	0	16	4	20	8	3	2	3	5	0	0	3	5	2	0	14	3	13	1	1	0	61	3	5	10	8	4	0	0	18	12	3
p__Actinobacteria g__Gordonia s__terrae	1	5	4	10	1	1	4	16	5	2	9	0	1	3	0	4	23	0	2	14	1	4	6	4	6	1	6	15	6	2	0	0	0	5	1	4	3	1	0	3	6	0	0	3	3	0	0	0	2	1	10	6	3	9	6	1	3	6	0	0	1	0	10	14	1	5	0	4	0	3	4	2	4	2	2	1	1	1	1	2	1	6	0	3	10	1	3	65	8	0	9	0	2	1	0	0	0	0	2	2	3	1	6	2	2	2	2	5	0	2	5	2	2	3	3	3	7	0	0	6	3	5	0	23	2	5	0	0	0	1	0	4	1	4	2	0	0	6	3	1
p__Actinobacteria g__Gordonia s__westfalica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria g__Gordonibacter	2	63	447	107	0	317	18	304	169	23	271	3	73	147	1	192	865	0	634	256	0	173	127	118	155	76	294	162	74	3	115	1	474	510	94	177	31	29	11	0	83	9	0	22	98	7	0	18	374	25	7	361	111	240	114	24	22	96	128	56	45	81	238	122	57	128	26	0	135	67	5	94	134	179	478	413	46	80	0	77	68	368	81	185	182	80	45	57	159	0	10	1	249	84	46	63	73	23	106	138	24	39	40	171	192	27	309	276	2	111	290	481	54	77	51	71	237	0	16	27	25	205	9	46	68	159	902	1	4	1428	21	228	939	207	253	7	0	0	48	39
p__Actinobacteria g__Gordonibacter s__Actinobacteria bacterium IMCC19121	0	2	1	3	0	1	1	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	10	0	2	7	0	4	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	5	1	3	0	0	0	2	0	1	1	0	4	3	0	2	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	4	4	0	0	5	0	0	0	0	3	0	2	0	0	1	0	1	0	1	0	0	0	0	3	0	0	1	3	2	2	0	1	0	1	0	0	0	10	1	0	0	0	0	0	0	0	0	0	1	0	6	0	5	23	0	0	0
p__Actinobacteria g__Gordonibacter s__massiliensis	5	27	514	145	0	372	35	291	197	97	384	12	110	195	6	240	445	0	360	172	0	273	145	138	267	105	225	173	102	5	193	0	442	337	107	129	40	41	1	0	63	19	15	23	302	1	0	2	418	29	26	417	135	235	135	34	24	97	122	64	100	118	254	113	130	128	58	1	130	43	9	59	148	154	124	269	32	72	0	48	108	298	48	145	240	81	54	65	206	2	11	0	246	177	43	102	148	22	168	115	33	46	62	72	324	45	420	404	4	90	264	439	101	39	46	74	189	0	12	40	46	185	0	134	75	140	1852	2	1	250	58	185	673	310	153	22	0	0	92	48
p__Actinobacteria g__Gordonibacter s__pamelaeae	6	193	410	432	19	1376	28	449	438	66	2605	10	316	309	28	819	5899	3	3879	835	0	1730	152	820	524	230	467	897	281	41	540	18	4390	2910	316	445	116	169	4	0	385	184	3	127	185	54	0	5	886	185	61	1254	160	183	115	25	246	260	222	358	63	388	620	129	437	240	398	4	80	131	31	595	185	558	82	4997	86	194	117	112	157	163	577	691	303	161	247	93	355	1	9	0	343	1536	517	166	279	17	252	1185	144	115	156	539	500	53	645	946	66	516	348	1255	122	218	120	180	1938	1	104	179	38	171	0	449	331	548	2300	3	2	12649	812	676	3077	191	1925	218	0	4	79	67
p__Actinobacteria g__Gordonibacter s__urolithinfaciens	0	832	698	111	1	252	32	819	402	33	244	2	310	113	10	533	1047	0	1990	1116	0	159	327	105	183	413	660	402	75	3	714	1	520	220	110	899	174	110	2	2	163	6	15	21	292	5	0	3	150	31	21	1076	245	150	194	11	52	84	543	60	175	128	192	151	64	136	116	1	252	30	11	79	58	174	103	392	32	57	0	368	153	135	151	89	309	80	150	480	184	0	4	1	2375	116	102	315	152	10	92	70	44	98	323	85	1557	38	821	341	2	148	272	2474	90	167	53	280	324	0	50	57	37	128	2	94	133	181	1495	1	0	3879	85	1346	5883	398	235	20	1	0	150	226
p__Actinobacteria g__Hoyosella s__subflava	2	0	18	2	3	0	2	6	14	0	9	0	4	24	1	0	6	0	4	18	0	8	4	25	11	3	12	2	5	1	14	120	0	27	14	51	21	14	0	0	1	0	0	1	29	1	0	0	20	3	0	7	68	10	14	0	0	1	25	7	2	2	20	7	3	1	0	6	32	4	0	5	2	1	46	39	0	0	14	8	0	10	5	11	27	17	1	57	10	1	0	0	2	0	7	1	1	3	74	22	0	1	2	1	24	1	14	1	0	20	8	3	4	3	0	0	8	0	0	2	1	1	1	6	1	2	2	1	0	3	14	22	1	3	4	0	13	6	9	0
p__Actinobacteria g__Intrasporangium s__calvum	1	3	10	6	0	1	1	19	9	5	6	0	5	9	1	7	10	0	28	5	2	15	4	11	1	1	2	5	5	4	11	0	7	11	1	15	2	3	2	0	0	2	0	2	2	1	10	0	6	2	0	6	4	13	7	3	6	5	7	1	3	0	3	1	4	2	4	17	2	11	0	8	7	6	5	1	0	1	0	6	1	45	0	1	16	3	5	110	4	0	10	0	3	5	0	14	4	14	2	1	3	6	1	13	19	3	11	0	0	2	9	6	5	7	0	2	2	1	1	2	3	3	0	14	1	10	2	7	0	21	3	4	14	6	11	0	0	31	2	2
p__Actinobacteria g__Isoptericola	0	0	0	0	0	0	0	1	3	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p__Actinobacteria g__Isoptericola s__dokdonensis	1	4	2	3	0	1	2	7	0	134	34	0	2	8	0	20	8	0	11	1	8	2	4	6	20	0	6	26	1	6	8	0	5	7	1	9	0	1	1	0	2	0	0	0	6	2	1	0	20	0	9	6	1	9	7	0	2	6	2	0	0	0	47	1	1	0	8	13	4	5	0	5	4	12	6	28	1	4	0	3	4	78	1	7	17	1	1	283	26	0	1	1	203	13	2	4	0	3	12	2	1	4	1	5	0	1	12	8	1	5	38	27	1	0	3	5	7	0	5	1	0	1	1	2	0	17	9	13	0	3	1	8	4	18	14	0	0	30	1	4
p__Actinobacteria g__Isoptericola s__variabilis	0	2	11	2	0	19	3	47	4	1	5	2	4	20	0	2	55	0	3	8	1	1	5	7	27	5	45	5	2	10	10	1	4	14	3	7	1	1	4	0	5	0	3	3	14	0	5	0	31	2	2	7	8	11	9	20	0	1	9	1	2	2	4	12	5	20	57	12	1	15	6	3	8	13	4	24	2	22	1	5	1	12	1	4	14	6	2	318	12	0	0	1	12	1	2	4	1	1	1	4	1	5	4	1	7	4	20	6	1	1	10	54	9	2	0	3	16	0	4	2	7	10	1	9	33	5	5	7	0	5	2	8	14	13	20	0	0	52	6	1
p__Actinobacteria g__Janibacter s__indicus	0	1	4	3	2	1	1	41	8	5	37	0	3	16	1	16	11	0	10	2	1	5	18	9	20	0	49	0	2	12	6	0	4	12	9	8	5	2	0	10	8	1	2	0	18	2	8	0	42	1	2	2	4	8	16	2	2	4	3	3	2	0	30	2	1	14	5	9	5	7	10	8	5	15	6	3	9	1	0	9	1	35	2	1	15	25	3	254	10	0	0	0	10	5	6	5	2	0	0	8	1	0	1	4	2	4	24	5	0	19	8	6	6	0	1	6	7	0	2	14	7	32	0	11	2	7	4	6	0	6	5	10	30	17	12	0	0	19	6	2
p__Actinobacteria g__Jatrophihabitans s__Frankineae bacterium MT45	0	1	110	0	0	2	5	46	14	1	10	0	8	7	0	8	12	0	14	12	0	12	11	1	9	4	11	11	4	0	2	0	4	11	6	2	0	14	0	0	2	0	0	0	3	1	0	0	6	1	0	6	15	11	13	0	3	0	10	0	3	2	6	3	0	10	1	2	0	3	0	5	12	8	4	1	3	0	0	2	4	21	0	1	15	1	14	62	21	0	0	0	3	0	0	24	1	0	2	0	4	4	0	3	3	0	39	1	0	0	7	27	11	27	1	3	9	0	8	3	2	7	0	4	0	13	0	1	0	1	1	12	13	16	2	0	0	9	5	0
p__Actinobacteria g__Jatrophihabitans s__sp. GAS493	1	0	17	0	0	62	3	29	7	2	39	1	3	6	0	38	7	0	28	5	0	12	11	11	4	7	23	16	9	0	26	0	3	19	5	5	5	5	0	0	17	0	0	0	2	3	0	0	2	1	2	10	5	19	2	0	6	2	4	0	4	1	23	3	0	4	0	0	3	3	0	23	27	15	23	5	2	45	152	8	2	7	1	1	5	18	3	33	33	0	0	0	33	2	3	5	3	1	8	4	6	3	7	2	2	0	17	5	0	1	4	10	2	10	1	3	6	0	1	2	1	12	0	2	4	20	0	1	0	1	38	23	1	7	2	0	0	2	1	1
p__Actinobacteria g__Jiangella	0	1	1	0	0	0	0	1	2	0	6	0	2	6	0	8	4	0	2	2	0	0	0	0	0	1	0	7	3	0	0	0	1	3	0	1	0	1	0	1	0	0	0	2	0	0	0	0	18	1	0	2	2	4	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	1	0	0	0	0	1	1	0	0	6	1	0	8	3	0	0	1	0	3	0	3	0	0	0	0	3	1	0	1	0	1	2	2	0	1	3	5	4	1	0	1	0	0	0	2	0	2	0	0	0	4	0	0	0	0	0	4	15	2	0	0	0	4	1	0
p__Actinobacteria g__Jiangella s__alkaliphila	0	0	8	2	0	2	4	25	7	2	8	1	4	16	0	0	7	0	6	7	0	5	26	0	39	7	57	1	2	1	13	0	1	10	14	7	0	1	5	2	3	0	0	0	21	0	8	0	6	1	0	18	6	18	8	0	2	0	1	2	6	0	7	1	0	44	4	3	1	1	1	2	4	27	5	16	1	0	4	3	0	44	1	1	8	4	2	52	11	0	0	0	12	1	8	4	0	3	0	20	2	4	0	2	0	0	13	107	0	4	25	15	2	1	2	3	17	0	0	0	7	2	0	4	0	12	1	4	0	0	2	8	8	12	1	0	0	23	5	0
p__Actinobacteria g__Jiangella s__sp. DSM 45060	0	1	37	4	0	0	2	22	6	2	9	0	4	15	3	10	7	0	8	34	0	18	6	2	5	2	12	5	3	1	3	0	2	9	3	2	2	2	0	0	0	0	0	0	10	1	0	0	31	2	1	9	6	5	10	1	0	1	5	3	3	0	19	13	1	2	3	4	33	16	2	49	16	6	0	3	1	1	0	5	2	37	2	2	30	0	15	109	8	0	0	0	1	1	4	14	1	4	3	2	0	2	0	9	9	3	51	33	0	4	1	12	3	1	7	11	3	0	6	1	6	10	0	6	0	7	0	1	0	1	0	8	25	11	4	0	0	11	5	0
p__Actinobacteria g__Jonesia s__denitrificans	0	0	3	2	0	1	2	0	1	38	2	1	2	2	8	7	1	0	1	1	0	4	3	0	0	0	2	0	0	1	18	0	0	1	2	1	0	0	0	0	1	1	0	0	11	0	0	0	2	0	6	1	1	1	6	0	8	0	1	0	0	0	3	5	1	3	2	2	3	2	0	1	0	3	0	3	0	1	0	0	1	0	0	0	4	0	2	47	1	0	0	0	54	2	1	1	0	1	0	1	3	0	0	0	0	1	2	28	0	1	17	0	11	0	4	0	2	0	1	0	0	2	0	1	1	5	0	0	0	1	1	2	0	0	0	2	0	12	1	0
p__Actinobacteria g__Kibdelosporangium s__phytohabitans	2	3	18	18	5	1	1	15	7	5	31	0	11	46	0	31	38	0	17	10	0	16	29	13	14	19	46	31	11	4	6	0	5	15	31	15	11	3	2	1	6	1	6	1	21	0	4	0	13	5	2	27	5	7	17	0	2	2	4	1	5	1	50	9	0	23	1	0	19	6	4	18	5	27	3	18	8	4	0	6	10	22	1	2	12	11	7	38	18	0	2	0	3	2	12	7	5	3	1	1	3	4	1	10	26	3	35	23	0	15	20	8	5	0	0	22	2	0	9	6	12	9	0	7	4	12	0	0	0	1	4	22	7	10	3	0	0	28	35	0
p__Actinobacteria g__Kineococcus s__radiotolerans	0	2	65	1	1	4	3	79	20	0	21	0	3	12	0	43	18	5	25	12	0	7	18	6	17	9	55	3	2	7	3	0	10	14	19	9	1	8	0	1	10	1	0	0	6	0	2	0	31	0	0	12	22	12	14	0	4	1	4	0	2	0	22	7	1	10	7	2	3	4	1	9	4	17	2	15	2	0	0	0	2	35	2	4	14	10	12	162	40	1	0	1	4	1	0	33	0	4	10	6	4	4	0	7	3	0	59	47	0	0	20	17	9	35	0	10	9	0	6	1	6	12	0	2	1	12	5	10	0	1	1	11	8	31	10	1	0	66	6	0
